# ll                            TT_ab/TT                EE_ab/EE
2.000000000000000000e+00 9.981417974960083983e-01 9.994400945568508998e-01
3.000000000000000000e+00 9.975296038025981415e-01 9.984443138373321203e-01
4.000000000000000000e+00 9.977034616221616137e-01 9.970333274077811669e-01
5.000000000000000000e+00 9.975074473171980927e-01 9.955417824287460249e-01
6.000000000000000000e+00 9.975963933306185583e-01 9.938371174614168968e-01
7.000000000000000000e+00 9.975829616897147201e-01 9.926690849247442605e-01
8.000000000000000000e+00 9.976293143915130335e-01 9.932341991560238448e-01
9.000000000000000000e+00 9.976619241028590324e-01 9.954415757581847046e-01
1.000000000000000000e+01 9.977000020684883008e-01 9.963998601945114331e-01
1.100000000000000000e+01 9.977383075778342159e-01 9.961306553149950060e-01
1.200000000000000000e+01 9.977764511749548371e-01 9.955204631315321961e-01
1.300000000000000000e+01 9.978019950075741606e-01 9.954767630579354210e-01
1.400000000000000000e+01 9.978320625933501109e-01 9.977035202486226328e-01
1.500000000000000000e+01 9.978620262189565882e-01 9.986140255572578672e-01
1.600000000000000000e+01 9.978953725144019682e-01 9.991166934350592665e-01
1.700000000000000000e+01 9.979135791388131782e-01 9.995464271176446314e-01
1.800000000000000000e+01 9.979424761153264933e-01 9.996584616220550723e-01
1.900000000000000000e+01 9.979803714177722940e-01 1.000444801600066658e+00
2.000000000000000000e+01 9.979916323980129178e-01 1.001213454872838637e+00
2.100000000000000000e+01 9.980162261459062378e-01 1.001574629582872911e+00
2.200000000000000000e+01 9.980345400322103711e-01 1.001861968942880488e+00
2.300000000000000000e+01 9.980532693486328100e-01 1.001923126555564147e+00
2.400000000000000000e+01 9.980757190578141147e-01 1.001923114310796947e+00
2.500000000000000000e+01 9.980944219341673085e-01 1.001954800924142130e+00
2.600000000000000000e+01 9.981132022543413029e-01 1.001906836449780736e+00
2.700000000000000000e+01 9.981302368993972829e-01 1.001840167199151255e+00
2.800000000000000000e+01 9.981488951577790480e-01 1.001780362952191972e+00
