# ll                            TT_ab/TT                EE_ab/EE
2.000000000000000000e+00 9.988010471279028524e-01 9.996387367696877302e-01
3.000000000000000000e+00 9.984060463756074810e-01 9.989962372837160043e-01
4.000000000000000000e+00 9.985182232409676173e-01 9.980858379980804829e-01
5.000000000000000000e+00 9.983917505269317427e-01 9.971234605754718539e-01
6.000000000000000000e+00 9.984491404389692626e-01 9.960235734780471528e-01
7.000000000000000000e+00 9.984404740506698239e-01 9.952699333545739213e-01
8.000000000000000000e+00 9.984703818270457276e-01 9.956345574088415473e-01
9.000000000000000000e+00 9.984914223255879628e-01 9.970588050413120573e-01
1.000000000000000000e+01 9.985159910613188305e-01 9.976771111057758379e-01
1.100000000000000000e+01 9.985407066132291343e-01 9.975034142332415144e-01
1.200000000000000000e+01 9.985653176958327881e-01 9.971097048989130407e-01
1.300000000000000000e+01 9.985817991349749123e-01 9.970815086562339058e-01
1.400000000000000000e+01 9.986011993985337565e-01 9.985182610680416460e-01
1.500000000000000000e+01 9.986205325847188341e-01 9.991057389949645762e-01
1.600000000000000000e+01 9.986420483434222950e-01 9.994300712970179967e-01
1.700000000000000000e+01 9.986537956554520923e-01 9.997073448621249803e-01
1.800000000000000000e+01 9.986724406163275392e-01 9.997796319732166204e-01
1.900000000000000000e+01 9.986968914937797148e-01 1.000286995714819938e+00
2.000000000000000000e+01 9.987041573243731207e-01 1.000782947607607332e+00
2.100000000000000000e+01 9.987200257480830512e-01 1.001015985425064869e+00
2.200000000000000000e+01 9.987318422678307384e-01 1.001201383060794869e+00
2.300000000000000000e+01 9.987439268321711694e-01 1.001240843289279203e+00
2.400000000000000000e+01 9.987584118752399487e-01 1.001240835388687689e+00
2.500000000000000000e+01 9.987704793798697356e-01 1.001261280284222899e+00
2.600000000000000000e+01 9.987825968529455700e-01 1.001230332556959146e+00
2.700000000000000000e+01 9.987935879782783299e-01 1.001187316099199087e+00
2.800000000000000000e+01 9.988056266944177475e-01 1.001148729091861922e+00
2.900000000000000000e+01 9.988190061765990224e-01 1.001111439182511997e+00
3.000000000000000000e+01 9.988266185217752335e-01 1.001099100976187817e+00
3.100000000000000000e+01 9.988362475906585880e-01 1.001110420335934670e+00
3.200000000000000000e+01 9.988497614120943613e-01 1.001118150742551949e+00
3.300000000000000000e+01 9.988588477601553217e-01 1.001121844641291503e+00
3.400000000000000000e+01 9.988681493096099873e-01 1.001123348009808955e+00
3.500000000000000000e+01 9.988801185131984672e-01 1.001119660228659169e+00
3.600000000000000000e+01 9.988882716488478586e-01 1.001113711205675827e+00
3.700000000000000000e+01 9.988940401807339109e-01 1.001105858897396672e+00
3.800000000000000000e+01 9.989058096071712356e-01 1.001093905698952513e+00
3.900000000000000000e+01 9.989166185933865405e-01 1.001075327635137846e+00
4.000000000000000000e+01 9.989257362727782530e-01 1.001055548342587143e+00
4.100000000000000000e+01 9.989334774453662025e-01 1.001038143258447644e+00
4.200000000000000000e+01 9.989416298331854627e-01 1.001028404021778284e+00
4.300000000000000000e+01 9.989475596758100595e-01 1.001020065853012175e+00
4.400000000000000000e+01 9.989553580831826984e-01 1.001010716581720805e+00
4.500000000000000000e+01 9.989711653659339996e-01 1.001004793815505334e+00
4.600000000000000000e+01 9.989772730035392234e-01 1.000998028870588863e+00
4.700000000000000000e+01 9.989812409709046825e-01 1.000985525890118577e+00
4.800000000000000000e+01 9.989877132038551544e-01 1.000970879271161351e+00
4.900000000000000000e+01 9.990013389580520986e-01 1.000942979040068570e+00
5.000000000000000000e+01 9.990075258479095277e-01 1.000902216966907288e+00
5.100000000000000000e+01 9.990199164549941058e-01 1.000871085666663163e+00
5.200000000000000000e+01 9.990296933062264850e-01 1.000884281808041010e+00
5.300000000000000000e+01 9.990279372866237573e-01 1.000916633178657422e+00
5.400000000000000000e+01 9.990323906157887457e-01 1.000935850998469379e+00
5.500000000000000000e+01 9.990403014823185934e-01 1.000931053578123731e+00
5.600000000000000000e+01 9.990523159049610191e-01 1.000888007684464842e+00
5.700000000000000000e+01 9.990606545093795310e-01 1.000837704286467789e+00
5.800000000000000000e+01 9.990706920592565821e-01 1.000799699458687186e+00
5.900000000000000000e+01 9.990766789102336620e-01 1.000771223310398028e+00
6.000000000000000000e+01 9.990888454456122725e-01 1.000763954186915106e+00
6.100000000000000000e+01 9.990956601163801798e-01 1.000768750967866216e+00
6.200000000000000000e+01 9.990929117401428083e-01 1.000760117326636500e+00
6.300000000000000000e+01 9.991067460215926621e-01 1.000749806044611168e+00
6.400000000000000000e+01 9.991152106580110104e-01 1.000739337799620765e+00
6.500000000000000000e+01 9.991194581117333051e-01 1.000720133086238084e+00
6.600000000000000000e+01 9.991279180758103617e-01 1.000693317166917229e+00
6.700000000000000000e+01 9.991407770454129311e-01 1.000673711603281113e+00
6.800000000000000000e+01 9.991481527960139886e-01 1.000657182373225984e+00
6.900000000000000000e+01 9.991555524388784360e-01 1.000638653315564675e+00
7.000000000000000000e+01 9.991671677916288408e-01 1.000625076437594796e+00
7.100000000000000000e+01 9.991704647149816099e-01 1.000608848849275256e+00
7.200000000000000000e+01 9.991759823496456638e-01 1.000588377891544756e+00
7.300000000000000000e+01 9.991804896228142496e-01 1.000564934124708039e+00
7.400000000000000000e+01 9.991867097232101091e-01 1.000542067313672456e+00
7.500000000000000000e+01 9.991950733549134211e-01 1.000523576418457683e+00
7.600000000000000000e+01 9.992017013677775283e-01 1.000503507892315680e+00
7.700000000000000000e+01 9.992123534506811566e-01 1.000487916907547792e+00
7.800000000000000000e+01 9.992168192722580278e-01 1.000470335913601572e+00
7.900000000000000000e+01 9.992241880679120225e-01 1.000449910567586365e+00
8.000000000000000000e+01 9.992339740439878382e-01 1.000428402647219439e+00
8.100000000000000000e+01 9.992398287229627973e-01 1.000405627668610631e+00
8.200000000000000000e+01 9.992492941503654524e-01 1.000384446599233534e+00
8.300000000000000000e+01 9.992565967410829142e-01 1.000362184123512632e+00
8.400000000000000000e+01 9.992595392978582680e-01 1.000338516810104217e+00
8.500000000000000000e+01 9.992642708381029859e-01 1.000314614299057325e+00
8.600000000000000000e+01 9.992744861342646168e-01 1.000293262682077300e+00
8.700000000000000000e+01 9.992780087826850233e-01 1.000269634889665138e+00
8.800000000000000000e+01 9.992850191245814528e-01 1.000249011034290980e+00
8.900000000000000000e+01 9.992926591448143547e-01 1.000225636040108279e+00
9.000000000000000000e+01 9.992942789065074605e-01 1.000200132236693351e+00
9.100000000000000000e+01 9.993011891181292627e-01 1.000176128790224439e+00
9.200000000000000000e+01 9.993102001522967681e-01 1.000152310082048634e+00
9.300000000000000000e+01 9.993135685614609187e-01 1.000126690201347035e+00
9.400000000000000000e+01 9.993197719500014342e-01 1.000098995960963633e+00
9.500000000000000000e+01 9.993194988628278930e-01 1.000072607992604778e+00
9.600000000000000000e+01 9.993254235831086074e-01 1.000047170365250482e+00
9.700000000000000000e+01 9.993378742095355705e-01 1.000020398596039861e+00
9.800000000000000000e+01 9.993355910208072679e-01 9.999923782167826625e-01
9.900000000000000000e+01 9.993416340874525794e-01 9.999621223630126288e-01
1.000000000000000000e+02 9.993462369785600652e-01 9.999398461023069062e-01
1.010000000000000000e+02 9.993567671248784201e-01 9.999118994846855069e-01
1.020000000000000000e+02 9.993612155391616847e-01 9.998782688314757916e-01
1.030000000000000000e+02 9.993584225973007884e-01 9.998552608879643921e-01
1.040000000000000000e+02 9.993642340826806025e-01 9.998251241065864159e-01
1.050000000000000000e+02 9.993688583795408142e-01 9.997981372211047768e-01
1.060000000000000000e+02 9.993691108036473203e-01 9.997679670629314730e-01
1.070000000000000000e+02 9.993710345165760511e-01 9.997332093265203223e-01
1.080000000000000000e+02 9.993787932634368154e-01 9.997024568818853041e-01
1.090000000000000000e+02 9.993784799353655490e-01 9.996661095215357840e-01
1.100000000000000000e+02 9.993789247496773775e-01 9.996365417475701065e-01
1.110000000000000000e+02 9.993842469367180126e-01 9.996070670607400954e-01
1.120000000000000000e+02 9.993861929388269116e-01 9.995750911922128834e-01
1.130000000000000000e+02 9.993881169143330467e-01 9.995376200372715347e-01
1.140000000000000000e+02 9.993933007615194430e-01 9.995072434740313039e-01
1.150000000000000000e+02 9.993936991718596063e-01 9.994767335989437340e-01
1.160000000000000000e+02 9.993931332339160978e-01 9.994274491468777555e-01
1.170000000000000000e+02 9.994010714276394536e-01 9.994024071529922226e-01
1.180000000000000000e+02 9.994008623921186718e-01 9.993839751057129739e-01
1.190000000000000000e+02 9.993997298637641302e-01 9.993258926418806531e-01
1.200000000000000000e+02 9.994017577518294893e-01 9.992979439992984991e-01
1.210000000000000000e+02 9.994008052466853975e-01 9.992721875968875178e-01
1.220000000000000000e+02 9.994000681179626699e-01 9.992111552682497733e-01
1.230000000000000000e+02 9.994017834917170440e-01 9.991818843638838876e-01
1.240000000000000000e+02 9.994015365026274189e-01 9.991443272713799173e-01
1.250000000000000000e+02 9.993987648665580981e-01 9.991101155866271011e-01
1.260000000000000000e+02 9.993996555061889220e-01 9.990709621440314603e-01
1.270000000000000000e+02 9.993970130780981398e-01 9.990230830094477543e-01
1.280000000000000000e+02 9.993966629041107774e-01 9.989875772986839264e-01
1.290000000000000000e+02 9.993990374484464922e-01 9.989396092391021886e-01
1.300000000000000000e+02 9.993964158227763850e-01 9.989015461795377471e-01
1.310000000000000000e+02 9.993948886340936477e-01 9.988633655424109525e-01
1.320000000000000000e+02 9.993939534623876852e-01 9.988153238848698212e-01
1.330000000000000000e+02 9.993899543632807081e-01 9.987783300782538953e-01
1.340000000000000000e+02 9.993895278116428083e-01 9.987332020103361074e-01
1.350000000000000000e+02 9.993862904873808128e-01 9.986806831752836899e-01
1.360000000000000000e+02 9.993828318959870893e-01 9.986354110264401562e-01
1.370000000000000000e+02 9.993832719805856302e-01 9.985946364584542545e-01
1.380000000000000000e+02 9.993766034047725233e-01 9.985538497760828580e-01
1.390000000000000000e+02 9.993706700095301709e-01 9.985062048372321808e-01
1.400000000000000000e+02 9.993690684512893663e-01 9.984539295652573587e-01
1.410000000000000000e+02 9.993660629699733233e-01 9.983946834019709060e-01
1.420000000000000000e+02 9.993643822933591103e-01 9.983635665404202442e-01
1.430000000000000000e+02 9.993591131455432652e-01 9.983093587930180757e-01
1.440000000000000000e+02 9.993510501826917691e-01 9.982573733477341227e-01
1.450000000000000000e+02 9.993502078776372866e-01 9.982127185017768412e-01
1.460000000000000000e+02 9.993474305572723759e-01 9.981627467478558779e-01
1.470000000000000000e+02 9.993376472279595912e-01 9.981194480392131529e-01
1.480000000000000000e+02 9.993340060022227744e-01 9.980501177896672349e-01
1.490000000000000000e+02 9.993292373862335820e-01 9.980091884390587254e-01
1.500000000000000000e+02 9.993231692503082852e-01 9.979667663110687315e-01
1.510000000000000000e+02 9.993157247886856887e-01 9.978952811427654890e-01
1.520000000000000000e+02 9.993075822669574837e-01 9.978385784150066717e-01
1.530000000000000000e+02 9.993039722297216709e-01 9.978067985743722668e-01
1.540000000000000000e+02 9.992991526282142267e-01 9.977502476696112899e-01
1.550000000000000000e+02 9.992870082341270832e-01 9.976950870016916273e-01
1.560000000000000000e+02 9.992819966142811872e-01 9.976500188768958610e-01
1.570000000000000000e+02 9.992798038526924387e-01 9.975885822462218222e-01
1.580000000000000000e+02 9.992675818855363268e-01 9.975390230866267860e-01
1.590000000000000000e+02 9.992611901617068915e-01 9.974829748619360448e-01
1.600000000000000000e+02 9.992576587389149223e-01 9.974318040201038960e-01
1.610000000000000000e+02 9.992451591998025018e-01 9.973929246204062959e-01
1.620000000000000000e+02 9.992422465718717728e-01 9.973273748119666493e-01
1.630000000000000000e+02 9.992337757924685260e-01 9.972733238453642679e-01
