# ll                            TT_ab/TT                EE_ab/EE
5.300000000000000000e+01 9.989778997564729979e-01 1.000963817439182169e+00
5.400000000000000000e+01 9.989825823235146673e-01 1.000984024508170034e+00
5.500000000000000000e+01 9.989909004067981657e-01 1.000978980137641194e+00
5.600000000000000000e+01 9.990035332792863709e-01 1.000933718429948494e+00
5.700000000000000000e+01 9.990123011185313429e-01 1.000880825633387872e+00
5.800000000000000000e+01 9.990228553575043469e-01 1.000840864483561576e+00
5.900000000000000000e+01 9.990291503853430122e-01 1.000810922507904488e+00
6.000000000000000000e+01 9.990419432006648615e-01 1.000803279201788465e+00
6.100000000000000000e+01 9.990491086608306315e-01 1.000808322900009761e+00
6.200000000000000000e+01 9.990462188102244845e-01 1.000799244836751090e+00
6.300000000000000000e+01 9.990607652198792987e-01 1.000788402775097952e+00
6.400000000000000000e+01 9.990696655786992508e-01 1.000777395670713998e+00
6.500000000000000000e+01 9.990741316727321797e-01 1.000757202382816846e+00
6.600000000000000000e+01 9.990830271186992295e-01 1.000729006097442308e+00
6.700000000000000000e+01 9.990965480117254272e-01 1.000708391325276558e+00
6.800000000000000000e+01 9.991043034336563045e-01 1.000691011242868189e+00
6.900000000000000000e+01 9.991120839777195561e-01 1.000671528390489007e+00
7.000000000000000000e+01 9.991242972379460463e-01 1.000657252634317818e+00
7.100000000000000000e+01 9.991277638724700427e-01 1.000640189720840123e+00
7.200000000000000000e+01 9.991335655307954644e-01 1.000618665007883212e+00
7.300000000000000000e+01 9.991383048186417426e-01 1.000594014458630276e+00
7.400000000000000000e+01 9.991448451025574107e-01 1.000569970564335609e+00
7.500000000000000000e+01 9.991536392573820979e-01 1.000550527838838466e+00
7.600000000000000000e+01 9.991606084513130481e-01 1.000529426272885214e+00
7.700000000000000000e+01 9.991718088567806966e-01 1.000513032732521346e+00
7.800000000000000000e+01 9.991765045592887473e-01 1.000494546746024005e+00
7.900000000000000000e+01 9.991842526682624959e-01 1.000473069992673825e+00
8.000000000000000000e+01 9.991945423835170148e-01 1.000450454938786704e+00
8.100000000000000000e+01 9.992006984357179045e-01 1.000426507604049720e+00
8.200000000000000000e+01 9.992106511018578052e-01 1.000404236226009491e+00
8.300000000000000000e+01 9.992183295979548685e-01 1.000380827775563919e+00
8.400000000000000000e+01 9.992214236246624859e-01 1.000355942172541424e+00
8.500000000000000000e+01 9.992263987238715339e-01 1.000330809264935894e+00
8.600000000000000000e+01 9.992371398587291953e-01 1.000308358560249022e+00
