# ll                            TT_ab/TT                EE_ab/EE
3.000000000000000000e+01 1.001411299268098132e+00 9.986780425359992330e-01
3.100000000000000000e+01 1.001399717784906329e+00 9.986644280343023317e-01
3.200000000000000000e+01 1.001383463866930335e+00 9.986551301909297740e-01
3.300000000000000000e+01 1.001372535148004728e+00 9.986506873079591395e-01
3.400000000000000000e+01 1.001361347592907514e+00 9.986488791126467701e-01
3.500000000000000000e+01 1.001346951483391923e+00 9.986533146376098680e-01
3.600000000000000000e+01 1.001337145197381595e+00 9.986604698995071860e-01
3.700000000000000000e+01 1.001330207023412022e+00 9.986699143616305507e-01
3.800000000000000000e+01 1.001316051198366752e+00 9.986842912207583023e-01
3.900000000000000000e+01 1.001303050554827045e+00 9.987066362196789227e-01
4.000000000000000000e+01 1.001292084151750972e+00 9.987304260115056342e-01
4.100000000000000000e+01 1.001282773359472023e+00 9.987513601944316699e-01
4.200000000000000000e+01 1.001272967972923977e+00 9.987630741833077863e-01
4.300000000000000000e+01 1.001265835780443147e+00 9.987731030202166016e-01
4.400000000000000000e+01 1.001256456148310159e+00 9.987843479733502505e-01
4.500000000000000000e+01 1.001237443741014088e+00 9.987914716545914784e-01
4.600000000000000000e+01 1.001230097703393884e+00 9.987996082768122452e-01
4.700000000000000000e+01 1.001225325180951087e+00 9.988146463931573127e-01
4.800000000000000000e+01 1.001217540621713198e+00 9.988322627975391166e-01
4.900000000000000000e+01 1.001201152075206879e+00 9.988658201499022171e-01
5.000000000000000000e+01 1.001193710715947871e+00 9.989148472438917903e-01
5.100000000000000000e+01 1.001178807758099643e+00 9.989522908051418071e-01
5.200000000000000000e+01 1.001167048527836778e+00 9.989364189808342953e-01
5.300000000000000000e+01 1.001169160602406016e+00 9.988975079646639221e-01
5.400000000000000000e+01 1.001163804304980198e+00 9.988743934912055478e-01
5.500000000000000000e+01 1.001154289411187559e+00 9.988801636486079882e-01
5.600000000000000000e+01 1.001139838913888580e+00 9.989319376363033909e-01
5.700000000000000000e+01 1.001129809552993466e+00 9.989924406782326738e-01
5.800000000000000000e+01 1.001117736764170818e+00 9.990381514608095426e-01
5.900000000000000000e+01 1.001110536004180096e+00 9.990724015047932616e-01
6.000000000000000000e+01 1.001095902551382588e+00 9.990811445340992414e-01
6.100000000000000000e+01 1.001087706120771026e+00 9.990753751457364107e-01
6.200000000000000000e+01 1.001091011764710492e+00 9.990857593658512004e-01
6.300000000000000000e+01 1.001074372409439306e+00 9.990981613894432956e-01
6.400000000000000000e+01 1.001064191461978004e+00 9.991107522022073528e-01
6.500000000000000000e+01 1.001059082783819498e+00 9.991338509117437816e-01
6.600000000000000000e+01 1.001048907456075110e+00 9.991661040945435390e-01
6.700000000000000000e+01 1.001033441169342675e+00 9.991896849317424278e-01
6.800000000000000000e+01 1.001024569892935201e+00 9.992095656701995843e-01
6.900000000000000000e+01 1.001015669879808501e+00 9.992318517263556465e-01
7.000000000000000000e+01 1.001001699368819775e+00 9.992481814863675149e-01
7.100000000000000000e+01 1.000997733952967428e+00 9.992676994214493291e-01
7.200000000000000000e+01 1.000991097548773689e+00 9.992923211222333180e-01
7.300000000000000000e+01 1.000985676369521959e+00 9.993205184064006819e-01
7.400000000000000000e+01 1.000978195065871823e+00 9.993480217497524576e-01
7.500000000000000000e+01 1.000968135603096387e+00 9.993702619055478964e-01
