# ll                            TT_ab/TT                EE_ab/EE
2.000000000000000000e+00 9.983993652390780182e-01 9.995177037415412524e-01
3.000000000000000000e+00 9.978720284692778053e-01 9.986599494168678648e-01
4.000000000000000000e+00 9.980217876418403522e-01 9.974445415582103847e-01
5.000000000000000000e+00 9.978529431216717205e-01 9.961597414700640307e-01
6.000000000000000000e+00 9.979295602183660963e-01 9.946913622183022330e-01
7.000000000000000000e+00 9.979179903537896967e-01 9.936852321134993504e-01
8.000000000000000000e+00 9.979579180503682645e-01 9.941720151635354830e-01
9.000000000000000000e+00 9.979860076893671827e-01 9.960734245698165124e-01
1.000000000000000000e+01 9.980188076211725656e-01 9.968988800174010123e-01
1.100000000000000000e+01 9.980518035565790758e-01 9.966669899585736125e-01
1.200000000000000000e+01 9.980846600226137566e-01 9.961413772669560629e-01
1.300000000000000000e+01 9.981066631930591848e-01 9.961037345145092869e-01
1.400000000000000000e+01 9.981325630736517240e-01 9.980218381420151719e-01
1.500000000000000000e+01 9.981583734041220568e-01 9.988061371857819282e-01
1.600000000000000000e+01 9.981870975283890779e-01 9.992391296484868235e-01
1.700000000000000000e+01 9.982027805101141293e-01 9.996092974148135246e-01
1.800000000000000000e+01 9.982276720410390158e-01 9.997058026782585927e-01
1.900000000000000000e+01 9.982603146288302476e-01 1.000383147101164161e+00
2.000000000000000000e+01 9.982700147106977617e-01 1.001045256394878180e+00
2.100000000000000000e+01 9.982911994888340468e-01 1.001356368232476424e+00
2.200000000000000000e+01 9.983069748647487307e-01 1.001603879129066677e+00
2.300000000000000000e+01 9.983231080875001329e-01 1.001656559609555908e+00
2.400000000000000000e+01 9.983424460147771740e-01 1.001656549062051038e+00
2.500000000000000000e+01 9.983585564623499442e-01 1.001683843554802555e+00
2.600000000000000000e+01 9.983747336191598487e-01 1.001642527495445467e+00
2.700000000000000000e+01 9.983894070710349622e-01 1.001585099351950392e+00
2.800000000000000000e+01 9.984054790851885075e-01 1.001533584645492025e+00
2.900000000000000000e+01 9.984233410585494628e-01 1.001483801600197898e+00
3.000000000000000000e+01 9.984335037468291540e-01 1.001467329758485070e+00
3.100000000000000000e+01 9.984463588162223457e-01 1.001482441412249180e+00
3.200000000000000000e+01 9.984644001361494547e-01 1.001492761715770063e+00
3.300000000000000000e+01 9.984765306584532096e-01 1.001497693171262249e+00
3.400000000000000000e+01 9.984889484804828630e-01 1.001499700209206534e+00
3.500000000000000000e+01 9.985049276934861995e-01 1.001494776920863305e+00
3.600000000000000000e+01 9.985158123517865469e-01 1.001486834813043902e+00
3.700000000000000000e+01 9.985235134990718686e-01 1.001476351767481843e+00
3.800000000000000000e+01 9.985392260041338064e-01 1.001460393921782321e+00
3.900000000000000000e+01 9.985536562953230000e-01 1.001435591700256644e+00
4.000000000000000000e+01 9.985658286458072297e-01 1.001409185805629987e+00
4.100000000000000000e+01 9.985761633221927891e-01 1.001385949543939669e+00
4.200000000000000000e+01 9.985870469821194195e-01 1.001372947397549451e+00
4.300000000000000000e+01 9.985949634836371880e-01 1.001361815714995274e+00
4.400000000000000000e+01 9.986053745700201878e-01 1.001349334183013307e+00
4.500000000000000000e+01 9.986264777233103684e-01 1.001341427128694450e+00
4.600000000000000000e+01 9.986346315859728762e-01 1.001332395742857040e+00
4.700000000000000000e+01 9.986399289305500915e-01 1.001315703923168599e+00
4.800000000000000000e+01 9.986485695379354599e-01 1.001296150287676712e+00
4.900000000000000000e+01 9.986667602911493136e-01 1.001258902718765276e+00
5.000000000000000000e+01 9.986750199577285603e-01 1.001204484240151515e+00
5.100000000000000000e+01 9.986915617558843605e-01 1.001162923105862523e+00
5.200000000000000000e+01 9.987046141187412296e-01 1.001180540314253964e+00
5.300000000000000000e+01 9.987022697847124375e-01 1.001223730275742296e+00
5.400000000000000000e+01 9.987082151005203245e-01 1.001249386588960455e+00
5.500000000000000000e+01 9.987187763229431470e-01 1.001242981902048523e+00
5.600000000000000000e+01 9.987348159046158802e-01 1.001185514460826154e+00
5.700000000000000000e+01 9.987459481687778196e-01 1.001118358053514124e+00
5.800000000000000000e+01 9.987593485714305608e-01 1.001067620572630323e+00
5.900000000000000000e+01 9.987673411806525792e-01 1.001029604138565565e+00
6.000000000000000000e+01 9.987835838369740760e-01 1.001019899660600787e+00
6.100000000000000000e+01 9.987926816081784676e-01 1.001026303493903757e+00
6.200000000000000000e+01 9.987890124509964940e-01 1.001014777347557727e+00
6.300000000000000000e+01 9.988074815937763029e-01 1.001001011505026739e+00
6.400000000000000000e+01 9.988187821140928069e-01 1.000987036112659601e+00
6.500000000000000000e+01 9.988244525805736185e-01 1.000961397296881827e+00
6.600000000000000000e+01 9.988357468631873237e-01 1.000925597313738091e+00
6.700000000000000000e+01 9.988529139380695199e-01 1.000899423351947259e+00
6.800000000000000000e+01 9.988627607661431096e-01 1.000877356379330285e+00
6.900000000000000000e+01 9.988726394910395490e-01 1.000852619582355052e+00
7.000000000000000000e+01 9.988881463035301778e-01 1.000834494080236503e+00
7.100000000000000000e+01 9.988925477860615132e-01 1.000812829807557591e+00
7.200000000000000000e+01 9.988999139787175796e-01 1.000785500521065075e+00
7.300000000000000000e+01 9.989059313112405025e-01 1.000754202453393527e+00
7.400000000000000000e+01 9.989142353147936193e-01 1.000723674637441052e+00
7.500000000000000000e+01 9.989254009910628618e-01 1.000698988788371935e+00
7.600000000000000000e+01 9.989342495688786627e-01 1.000672196759017973e+00
7.700000000000000000e+01 9.989484703898704465e-01 1.000651382369430742e+00
7.800000000000000000e+01 9.989544323833885464e-01 1.000627911263354042e+00
7.900000000000000000e+01 9.989642699264184023e-01 1.000600642869744483e+00
8.000000000000000000e+01 9.989773344711899705e-01 1.000571929209870481e+00
8.100000000000000000e+01 9.989851506271868464e-01 1.000541523992710680e+00
8.200000000000000000e+01 9.989977872307433948e-01 1.000513246687816160e+00
8.300000000000000000e+01 9.990075363883784698e-01 1.000483525675979424e+00
8.400000000000000000e+01 9.990114647818710836e-01 1.000451929167542442e+00
8.500000000000000000e+01 9.990177815170527831e-01 1.000420018663847443e+00
8.600000000000000000e+01 9.990314192158398221e-01 1.000391513673254851e+00
8.700000000000000000e+01 9.990361220474884840e-01 1.000359969926424508e+00
8.800000000000000000e+01 9.990454810449824752e-01 1.000332436517410661e+00
8.900000000000000000e+01 9.990556806802171064e-01 1.000301230263106467e+00
9.000000000000000000e+01 9.990578431062230313e-01 1.000267181990458276e+00
9.100000000000000000e+01 9.990670684270714919e-01 1.000235136735224017e+00
9.200000000000000000e+01 9.990790984032749122e-01 1.000203338110646323e+00
9.300000000000000000e+01 9.990835953213127452e-01 1.000169134871656373e+00
9.400000000000000000e+01 9.990918770140836402e-01 1.000132162305956252e+00
9.500000000000000000e+01 9.990915124352641730e-01 1.000096933649010422e+00
9.600000000000000000e+01 9.990994220983131502e-01 1.000062973723206738e+00
9.700000000000000000e+01 9.991160440239268414e-01 1.000027232681663492e+00
9.800000000000000000e+01 9.991129959047477804e-01 9.999898247116780770e-01
9.900000000000000000e+01 9.991210635634190096e-01 9.999494323222917203e-01
1.000000000000000000e+02 9.991272085484962373e-01 9.999196929071247908e-01
1.010000000000000000e+02 9.991412665808235838e-01 9.998823834109334951e-01
1.020000000000000000e+02 9.991472053351303506e-01 9.998374855723172194e-01
1.030000000000000000e+02 9.991434766816261748e-01 9.998067693406630374e-01
1.040000000000000000e+02 9.991512351729964214e-01 9.997665359161652665e-01
1.050000000000000000e+02 9.991574087353369826e-01 9.997305076885374397e-01
1.060000000000000000e+02 9.991577457283988828e-01 9.996902297051083464e-01
1.070000000000000000e+02 9.991603139375883069e-01 9.996438271797002395e-01
1.080000000000000000e+02 9.991706720761068805e-01 9.996027718279748564e-01
1.090000000000000000e+02 9.991702537745922319e-01 9.995542471112848215e-01
1.100000000000000000e+02 9.991708476138215778e-01 9.995147733271902979e-01
1.110000000000000000e+02 9.991779528785735831e-01 9.994754238169590854e-01
1.120000000000000000e+02 9.991805508444260298e-01 9.994327351609940679e-01
1.130000000000000000e+02 9.991831194041633779e-01 9.993827101478955921e-01
1.140000000000000000e+02 9.991900399814396261e-01 9.993421566080765706e-01
1.150000000000000000e+02 9.991905718701020733e-01 9.993014250933081044e-01
1.160000000000000000e+02 9.991898163275231282e-01 9.992356290065846913e-01
1.170000000000000000e+02 9.992004140324941552e-01 9.992021972622443515e-01
1.180000000000000000e+02 9.992001349643768737e-01 9.991775899767733060e-01
1.190000000000000000e+02 9.991986230081570941e-01 9.991000483045577862e-01
1.200000000000000000e+02 9.992013302939931618e-01 9.990627361049887467e-01
1.210000000000000000e+02 9.992000586736659029e-01 9.990283506057963114e-01
1.220000000000000000e+02 9.991990745867311841e-01 9.989468707836688388e-01
1.230000000000000000e+02 9.992013646574445795e-01 9.989077933285811506e-01
1.240000000000000000e+02 9.992010349202783415e-01 9.988576535864945871e-01
1.250000000000000000e+02 9.991973347105868042e-01 9.988119800549325467e-01
1.260000000000000000e+02 9.991985237387677188e-01 9.987597091419661011e-01
1.270000000000000000e+02 9.991949960252488605e-01 9.986957891923824437e-01
1.280000000000000000e+02 9.991945285334319360e-01 9.986483881008278995e-01
1.290000000000000000e+02 9.991976986148367601e-01 9.985843494339483595e-01
1.300000000000000000e+02 9.991941986731165404e-01 9.985335342120461588e-01
1.310000000000000000e+02 9.991921598346025224e-01 9.984825620208938046e-01
1.320000000000000000e+02 9.991909113548875787e-01 9.984184250987324649e-01
1.330000000000000000e+02 9.991855724485869672e-01 9.983690373586584510e-01
1.340000000000000000e+02 9.991850029905250397e-01 9.983087901580522949e-01
1.350000000000000000e+02 9.991806810744040535e-01 9.982386760818909854e-01
1.360000000000000000e+02 9.991760637606317275e-01 9.981782365293221382e-01
1.370000000000000000e+02 9.991766512855652094e-01 9.981238013697769640e-01
1.380000000000000000e+02 9.991677485551068161e-01 9.980693500371969895e-01
1.390000000000000000e+02 9.991598273107475947e-01 9.980057427452998509e-01
1.400000000000000000e+02 9.991576891868467758e-01 9.979359538324852341e-01
1.410000000000000000e+02 9.991536767873774316e-01 9.978568585897825693e-01
1.420000000000000000e+02 9.991514330382915698e-01 9.978153167315428895e-01
1.430000000000000000e+02 9.991443985823503793e-01 9.977429479113644195e-01
1.440000000000000000e+02 9.991336343071929305e-01 9.976735459250811733e-01
1.450000000000000000e+02 9.991325098069886446e-01 9.976139304886898485e-01
1.460000000000000000e+02 9.991288020086075417e-01 9.975472168352580438e-01
1.470000000000000000e+02 9.991157409973366876e-01 9.974894118791421960e-01
1.480000000000000000e+02 9.991108798617387432e-01 9.973968541064479609e-01
1.490000000000000000e+02 9.991045136294277595e-01 9.973422123078831136e-01
1.500000000000000000e+02 9.990964125025845188e-01 9.972855776108291437e-01
1.510000000000000000e+02 9.990864739434243136e-01 9.971901429628631242e-01
1.520000000000000000e+02 9.990756034549980180e-01 9.971144432759095899e-01
1.530000000000000000e+02 9.990707839568990778e-01 9.970720163225239574e-01
1.540000000000000000e+02 9.990643496575316584e-01 9.969965193234102685e-01
1.550000000000000000e+02 9.990481365604378938e-01 9.969228783283698991e-01
1.560000000000000000e+02 9.990414459113551304e-01 9.968627111534653640e-01
1.570000000000000000e+02 9.990385185148719094e-01 9.967806915771005860e-01
1.580000000000000000e+02 9.990222018556167427e-01 9.967145287483387683e-01
1.590000000000000000e+02 9.990136687301022222e-01 9.966397028408192638e-01
1.600000000000000000e+02 9.990089541844283660e-01 9.965713883723456012e-01
1.610000000000000000e+02 9.989922669590466375e-01 9.965194833141168829e-01
1.620000000000000000e+02 9.989883785213773404e-01 9.964319725333329325e-01
1.630000000000000000e+02 9.989770698000084437e-01 9.963598130197952596e-01
1.640000000000000000e+02 9.989624095198760267e-01 9.962960717790965148e-01
1.650000000000000000e+02 9.989578234213729591e-01 9.962360555992947342e-01
1.660000000000000000e+02 9.989488715308720845e-01 9.961538226687838282e-01
1.670000000000000000e+02 9.989366236831943580e-01 9.960930392178621862e-01
1.680000000000000000e+02 9.989214448857075546e-01 9.960422716743948524e-01
1.690000000000000000e+02 9.989108537750257533e-01 9.959631911257429415e-01
1.700000000000000000e+02 9.988960184095481143e-01 9.959243395803563104e-01
1.710000000000000000e+02 9.988832555920814649e-01 9.958703091425605836e-01
1.720000000000000000e+02 9.988668231885273752e-01 9.957923401411914455e-01
1.730000000000000000e+02 9.988528501010661698e-01 9.957632116631133234e-01
1.740000000000000000e+02 9.988435257963498293e-01 9.957268093865270231e-01
1.750000000000000000e+02 9.988240852477039411e-01 9.956725220134896581e-01
1.760000000000000000e+02 9.988089905394353929e-01 9.956399035380011364e-01
1.770000000000000000e+02 9.987973477892650997e-01 9.956275672198305893e-01
1.780000000000000000e+02 9.987786311388382465e-01 9.956022377034013937e-01
1.790000000000000000e+02 9.987635709746912616e-01 9.955590845770333486e-01
1.800000000000000000e+02 9.987518716099740290e-01 9.955569332761631252e-01
1.810000000000000000e+02 9.987338377244296961e-01 9.955562024420986367e-01
1.820000000000000000e+02 9.987167006468850028e-01 9.955590992242435711e-01
1.830000000000000000e+02 9.987022776178862138e-01 9.955530303846452655e-01
1.840000000000000000e+02 9.986870909660954254e-01 9.955929009951562936e-01
1.850000000000000000e+02 9.986613757470976793e-01 9.956251598437511063e-01
1.860000000000000000e+02 9.986467832554662971e-01 9.956572964346822596e-01
1.870000000000000000e+02 9.986407568691338943e-01 9.957195868029992125e-01
1.880000000000000000e+02 9.986112627063846725e-01 9.957779804034643245e-01
1.890000000000000000e+02 9.986022355350386848e-01 9.958574791846149799e-01
1.900000000000000000e+02 9.985884772150999122e-01 9.959494685817397164e-01
1.910000000000000000e+02 9.985627837580299815e-01 9.960512504261932465e-01
1.920000000000000000e+02 9.985455560573421874e-01 9.961686939831988497e-01
1.930000000000000000e+02 9.985283867385340573e-01 9.962996732215140261e-01
1.940000000000000000e+02 9.985129262156322572e-01 9.964489318922888916e-01
1.950000000000000000e+02 9.984905640565480134e-01 9.966099117405423646e-01
1.960000000000000000e+02 9.984718783809232168e-01 9.967886953161343433e-01
1.970000000000000000e+02 9.984561098482855890e-01 9.969849088395854597e-01
1.980000000000000000e+02 9.984356456604895902e-01 9.971945329547746706e-01
1.990000000000000000e+02 9.984198035883810052e-01 9.974152858807724398e-01
2.000000000000000000e+02 9.984006626742721879e-01 9.976588957037381133e-01
2.010000000000000000e+02 9.983789038315908915e-01 9.979132054462540591e-01
2.020000000000000000e+02 9.983590919299235589e-01 9.981768154475608723e-01
2.030000000000000000e+02 9.983338531988917852e-01 9.984620422565468889e-01
2.040000000000000000e+02 9.983165228037347294e-01 9.987526739613759030e-01
2.050000000000000000e+02 9.982948087316916297e-01 9.990582018940099562e-01
2.060000000000000000e+02 9.982709863613704604e-01 9.993681084678927018e-01
2.070000000000000000e+02 9.982478993540253587e-01 9.996889064636995670e-01
2.080000000000000000e+02 9.982233820183653572e-01 1.000014461541370414e+00
2.090000000000000000e+02 9.982029632098389227e-01 1.000344911377513801e+00
2.100000000000000000e+02 9.981781838026662079e-01 1.000684823463629414e+00
2.110000000000000000e+02 9.981545197354960708e-01 1.001014984848602296e+00
2.120000000000000000e+02 9.981297334520383702e-01 1.001352903084165247e+00
2.130000000000000000e+02 9.981075110991634025e-01 1.001673684887389948e+00
2.140000000000000000e+02 9.980865387932549293e-01 1.002023850285444384e+00
2.150000000000000000e+02 9.980571617834893550e-01 1.002351748268471843e+00
2.160000000000000000e+02 9.980357326035450560e-01 1.002645727193732128e+00
