# ll				TT_ab/TT 		EE_ab/EE
1.400000000000000000e+02 1.000943969606731265e+00 1.002313156638379610e+00
1.410000000000000000e+02 1.000948466264129033e+00 1.002401797914239223e+00
1.420000000000000000e+02 1.000950980812095326e+00 1.002448353474221676e+00
1.430000000000000000e+02 1.000958864259042347e+00 1.002529456513214567e+00
1.440000000000000000e+02 1.000970927678421996e+00 1.002607234650067625e+00
1.450000000000000000e+02 1.000972187894958676e+00 1.002674045094818833e+00
1.460000000000000000e+02 1.000976343188853646e+00 1.002748810442966043e+00
1.470000000000000000e+02 1.000990980538250419e+00 1.002813591899929024e+00
1.480000000000000000e+02 1.000996428366043967e+00 1.002917320503344589e+00
1.490000000000000000e+02 1.001003562941211511e+00 1.002978557040139274e+00
1.500000000000000000e+02 1.001012641795953728e+00 1.003042026999055425e+00
1.510000000000000000e+02 1.001023779843376760e+00 1.003148979688849085e+00
1.520000000000000000e+02 1.001035962294942738e+00 1.003233815598120859e+00
1.530000000000000000e+02 1.001041363459992617e+00 1.003281363075698929e+00
1.540000000000000000e+02 1.001048574317254136e+00 1.003365971834662806e+00
1.550000000000000000e+02 1.001066744178840340e+00 1.003448500587757364e+00
1.560000000000000000e+02 1.001074242324756058e+00 1.003515929360540238e+00
1.570000000000000000e+02 1.001077523029768823e+00 1.003607847908938755e+00
1.580000000000000000e+02 1.001095808952470634e+00 1.003681995953189521e+00
1.590000000000000000e+02 1.001105371943958211e+00 1.003765852626274491e+00
1.600000000000000000e+02 1.001110655489837242e+00 1.003842411992404093e+00
1.610000000000000000e+02 1.001129356702424200e+00 1.003900581490691835e+00
1.620000000000000000e+02 1.001133714437027811e+00 1.003998653978936728e+00
1.630000000000000000e+02 1.001146388012027044e+00 1.004079522449995432e+00
1.640000000000000000e+02 1.001162817646616965e+00 1.004150956643852899e+00
1.650000000000000000e+02 1.001167957242990125e+00 1.004218216197880098e+00
1.660000000000000000e+02 1.001177989540360302e+00 1.004310373850213045e+00
1.670000000000000000e+02 1.001191715585158848e+00 1.004378493277586326e+00
1.680000000000000000e+02 1.001208726317148079e+00 1.004435387974048854e+00
1.690000000000000000e+02 1.001220595672769553e+00 1.004524012782427533e+00
1.700000000000000000e+02 1.001237221523817666e+00 1.004567553334735353e+00
1.710000000000000000e+02 1.001251524690293326e+00 1.004628104725411086e+00
1.720000000000000000e+02 1.001269940326515062e+00 1.004715483833467538e+00
1.730000000000000000e+02 1.001285599830904038e+00 1.004748127837992611e+00
1.740000000000000000e+02 1.001296049489294626e+00 1.004788923518371790e+00
1.750000000000000000e+02 1.001317836324716160e+00 1.004849762853895268e+00
1.760000000000000000e+02 1.001334752818729301e+00 1.004886318064867723e+00
1.770000000000000000e+02 1.001347800736585691e+00 1.004900143257694500e+00
1.780000000000000000e+02 1.001368776306253094e+00 1.004928529802529225e+00
1.790000000000000000e+02 1.001385654087002308e+00 1.004976891095167080e+00
1.800000000000000000e+02 1.001398765452235384e+00 1.004979302037309452e+00
1.810000000000000000e+02 1.001418975853882065e+00 1.004980121075998767e+00
1.820000000000000000e+02 1.001438181211450562e+00 1.004976874680179710e+00
1.830000000000000000e+02 1.001454344960982512e+00 1.004983675970201773e+00
1.840000000000000000e+02 1.001471364495214456e+00 1.004938993361434774e+00
1.850000000000000000e+02 1.001500183293198898e+00 1.004902841180854711e+00
1.860000000000000000e+02 1.001516536957869352e+00 1.004866826013259606e+00
1.870000000000000000e+02 1.001523290670925492e+00 1.004797017798091163e+00
1.880000000000000000e+02 1.001556344494735518e+00 1.004731576653081548e+00
1.890000000000000000e+02 1.001566461158623023e+00 1.004642483135574249e+00
1.900000000000000000e+02 1.001581879975120382e+00 1.004539391505179013e+00
1.910000000000000000e+02 1.001610674384722177e+00 1.004425325573481631e+00
1.920000000000000000e+02 1.001629981302773365e+00 1.004293707711537476e+00
1.930000000000000000e+02 1.001649222792814875e+00 1.004146920542060784e+00
1.940000000000000000e+02 1.001666549251760241e+00 1.003979647788876939e+00
1.950000000000000000e+02 1.001691610307829938e+00 1.003799239225108719e+00
1.960000000000000000e+02 1.001712551164335219e+00 1.003598878195775868e+00
1.970000000000000000e+02 1.001730222806821669e+00 1.003378983591936890e+00
1.980000000000000000e+02 1.001753156824768842e+00 1.003144059867242088e+00
1.990000000000000000e+02 1.001770910882231469e+00 1.002896664191578413e+00
2.000000000000000000e+02 1.001792361920116337e+00 1.002623653011869287e+00
2.010000000000000000e+02 1.001816746845310302e+00 1.002338650535488762e+00
2.020000000000000000e+02 1.001838949852482230e+00 1.002043225348754563e+00
2.030000000000000000e+02 1.001867234654997496e+00 1.001723574414083551e+00
2.040000000000000000e+02 1.001886656661750141e+00 1.001397866264755798e+00
